Form,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
424B3,,"3,373","4,410","4,701","6,803","7,684","7,038","6,977","8,139","7,989","10,457","14,349","14,150","16,180","15,337","11,617","12,752","17,062","19,862","17,644","14,616","15,000","12,377","9,975","9,792","8,401","7,641","8,659","292,985"
424B4,,180,150,662,757,680,975,658,419,435,349,584,497,444,433,157,146,278,278,292,662,492,386,351,383,429,412,752,"12,241"
424B5,,568,869,"1,452","1,983","2,649","2,185","2,126","3,144","3,521","4,846","6,197","6,922","5,690","5,453","3,145","3,845","5,263","4,079","7,748","6,349","8,383","8,204","6,248","8,749","3,232","4,702","7,218","124,770"
424B7,,,,10,14,3,,,,,,,23,583,"2,203","1,550",155,192,172,206,267,228,274,199,213,198,127,154,"6,771"
424B8,,,,,,,,,,,,,,45,56,39,10,30,61,70,74,42,54,162,117,232,251,404,"1,647"
424H,,,,,,,,,,,,,,,,,,,,,,,10,371,385,337,310,197,"1,610"
424H/A,,,,,,,,,,,,,,,,,,,,,,,,15,42,30,24,8,119
425,,,,,,,,"4,303","4,849","4,271","4,176","4,878","6,601","4,971","5,834","3,736","4,525","4,339","4,932","3,020","4,295","6,732","7,304","5,650","4,574","5,678","4,700","4,704","104,072"
485A24E,,6,41,23,14,,,,,,,,,,,,,,,,,,,,,,,,84
485A24F,,,4,6,10,,,,,,,,,,,,,,,,,,,,,,,,20
485APOS,,393,834,"1,352","1,524","2,147","3,126","1,715","1,385","1,276","1,685","1,684","2,348","1,467","1,502","1,440","1,807","1,991","1,442","1,304","1,481","1,319","1,407","1,315","1,320","1,007",955,"1,015","40,241"
485B24E,,311,539,584,292,,,,,,,,,,,,,,,,,,,,,,,,"1,726"
485B24F,,2,5,15,38,,,,,,,,,,,,,,,,,,,,,,,,60
485BPOS,,"4,596","5,663","7,024","6,946","6,340","6,080","7,357","6,952","6,888","6,722","5,585","5,859","5,684","5,654","5,805","5,539","5,503","8,072","8,626","8,572","8,612","8,586","8,502","8,623","8,193","7,726","6,750","186,459"
485BXT,,,,4,36,51,141,128,150,151,233,216,440,363,451,678,776,809,"1,156","1,393","1,726","2,038","2,129","2,279","2,316","1,766","1,312","1,420","22,162"
485BXTF,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
486A24E,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
486APOS,,21,,,,1,8,10,5,7,5,6,10,5,4,5,1,4,3,7,1,12,6,4,24,19,27,19,214
486B24E,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
486BPOS,,28,12,6,9,13,13,19,19,30,33,21,12,15,14,17,13,16,24,29,25,34,45,46,72,63,86,105,819
486BXT,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,20,54
487,,346,352,393,394,461,537,552,512,460,473,441,498,564,679,723,874,"1,042","1,074","1,101","1,063","1,130","1,187","1,174","1,055",973,909,837,"19,804"
497,,"6,285","10,675","13,227","13,738","14,624","13,905","14,883","19,491","15,718","16,738","20,578","18,592","19,068","17,563","19,155","18,238","18,325","15,496","16,586","19,076","16,923","17,153","19,270","22,127","19,698","18,764","21,752","457,648"
497AD,,,,,,,,84,1,9,94,128,250,162,237,290,275,289,210,269,299,295,183,161,224,229,262,280,"4,231"
497H2,,,1,1,2,7,5,1,8,6,10,2,,2,4,,1,,10,6,16,,,,1,,,,83
497J,,"1,502","2,056","2,877","3,282","3,844","3,776","4,488","4,606","4,653","4,893","4,378","4,566","4,613","4,782","5,264","4,991","4,978","5,262","5,828","5,821","6,262","6,166","5,561","5,691","5,516","5,132","4,691","125,479"
497K,,,,,,,,,,,,,,,,,"1,110","12,051","15,508","15,656","18,426","18,646","20,106","21,689","24,280","22,047","21,837","23,717","215,073"
497K1,,,,,,112,244,22,16,12,13,,5,9,14,7,,,,,,,,,,,,,454
497K2,,,,,,54,92,16,7,5,6,1,1,,2,2,,,,,,,,,,,,,186
497K3A,,,,,,1,21,4,,,4,5,4,5,5,13,1,,,,,,,,,,,,63
497K3B,,,,,,27,120,314,316,242,240,247,287,295,269,249,60,,,,,,,,,,,,"2,666"
5,,,,301,"2,189","3,446","4,741","5,346","5,632","6,560","16,067","19,881","16,593","15,040","13,070","11,495","10,620","9,374","9,003","8,427","8,084","8,097","6,991","6,556","6,217","6,157","5,274","5,214","210,375"
5/A,,,,10,32,135,143,141,174,225,660,"1,308",797,702,586,450,430,314,242,330,274,248,211,154,138,166,90,112,"8,072"
6-K,,,3,43,183,442,861,"1,864","2,822","15,717","20,148","23,440","25,453","26,806","26,877","23,408","20,656","20,103","21,226","21,347","21,329","21,472","21,383","21,091","21,234","21,936","22,264","23,116","425,224"
6-K/A,,,1,2,3,6,11,28,52,122,212,258,316,368,303,320,322,310,333,344,276,266,267,266,233,275,292,257,"5,443"
6B NTC,,,,,,,,,,,,,,,,,1,12,6,5,5,3,,2,2,,1,1,38
6B ORDR,,,,,,,,,,,,,,,,,2,11,2,5,5,3,,1,2,,1,1,33
8-A12B,,223,299,758,882,"1,087",806,596,790,985,710,778,641,883,"1,179","1,015",861,773,734,762,"1,009",913,"1,221",786,842,885,886,"1,253","22,557"
8-A12B/A,,110,127,261,280,291,310,201,196,384,197,165,151,174,207,176,242,147,114,134,150,113,111,107,77,118,77,93,"4,713"
